CIC_AEM_VERS = 1.0
CREATION_DATE = 2025-09-10T10:10:01
ORIGINATOR = SUTS

META_START

COMMENT Detumbling simulation output using quaternion

OBJECT_NAME = SUTS
OBJECT_ID = SUTS

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
ATTITUDE_TYPE = QUATERNION

META_STOP

60928 36649.86608 0.314504 -0.688978 0.612753 0.225678
60928 36650.86608 0.317016 -0.695160 0.605616 0.222448
60928 36651.86608 0.316533 -0.693179 0.607766 0.223450
60928 36652.86608 0.313983 -0.685090 0.616727 0.227408
60928 36653.86608 0.312366 -0.679045 0.623202 0.230096
60928 36654.86608 0.313815 -0.681323 0.620535 0.228594
60928 36655.86608 0.317315 -0.689706 0.611058 0.224110
60928 36656.86608 0.319813 -0.695871 0.603909 0.220853
60928 36657.86608 0.319328 -0.693902 0.606063 0.221851
60928 36658.86608 0.316594 -0.685911 0.615136 0.225614
60928 36659.86608 0.314782 -0.679961 0.621728 0.228079
60928 36660.86608 0.316011 -0.682312 0.619166 0.226320
60928 36661.86608 0.319264 -0.690757 0.609784 0.221560
60928 36662.86608 0.321519 -0.696992 0.602732 0.218041
60928 36663.86608 0.320834 -0.695105 0.604991 0.218815
60928 36664.86608 0.318134 -0.687133 0.614081 0.222585
60928 36665.86608 0.316356 -0.681192 0.620678 0.225066
60928 36666.86608 0.317579 -0.683538 0.618107 0.223299
60928 36667.86608 0.320796 -0.691969 0.608703 0.218518
60928 36668.86608 0.323022 -0.698194 0.601634 0.214984
60928 36669.86608 0.322350 -0.696312 0.603892 0.215764
60928 36670.86608 0.319692 -0.688355 0.612992 0.219556
60928 36671.86608 0.317947 -0.682425 0.619596 0.222051
60928 36672.86608 0.319164 -0.684767 0.617014 0.220278
60928 36673.86608 0.322344 -0.693182 0.607589 0.215474
60928 36674.86608 0.324541 -0.699398 0.600503 0.211925
60928 36675.86608 0.323881 -0.697521 0.602760 0.212710
60928 36676.86608 0.321265 -0.689580 0.611871 0.216523
60928 36677.86608 0.319553 -0.683661 0.618481 0.219033
60928 36678.86608 0.320763 -0.685998 0.615889 0.217252
60928 36679.86608 0.323904 -0.694398 0.606442 0.212426
60928 36680.86608 0.326073 -0.700604 0.599340 0.208861
